score,gender,education
4.2,male,undergraduate
11.5,male,undergraduate
7.3,male,undergraduate
5.8,male,undergraduate
6.4,male,undergraduate
10,male,undergraduate
11.2,male,undergraduate
11.2,male,undergraduate
5.2,male,undergraduate
7,male,undergraduate
16.5,male,undergraduate
16.5,male,undergraduate
15.2,male,undergraduate
17.3,male,undergraduate
22.5,male,undergraduate
17.3,female,undergraduate
13.6,female,undergraduate
14.5,female,undergraduate
18.8,female,undergraduate
15.5,female,undergraduate
23.6,female,undergraduate
18.5,female,undergraduate
33.9,female,undergraduate
25.5,female,undergraduate
26.4,female,undergraduate
32.5,female,undergraduate
26.7,female,undergraduate
21.5,female,undergraduate
23.3,female,undergraduate
29.5,female,undergraduate
15.2,male,postgraduate
21.5,male,postgraduate
17.6,male,postgraduate
9.7,male,postgraduate
14.5,male,postgraduate
10,male,postgraduate
8.2,male,postgraduate
9.4,male,postgraduate
16.5,male,postgraduate
9.7,male,postgraduate
19.7,male,postgraduate
23.3,male,postgraduate
23.6,male,postgraduate
26.4,male,postgraduate
20,male,postgraduate
25.2,female,postgraduate
25.8,female,postgraduate
21.2,female,postgraduate
14.5,female,postgraduate
27.3,female,postgraduate
25.5,female,postgraduate
26.4,female,postgraduate
22.4,female,postgraduate
24.5,female,postgraduate
24.8,female,postgraduate
30.9,female,postgraduate
26.4,female,postgraduate
27.3,female,postgraduate
29.4,female,postgraduate
23,female,postgraduate
